name,sold,original_price,promo_price,store_name,url,img,rating,review
Pampers  - [原箱] Ichiban 紙尿片 中碼 68片X3包 (平行進口),已售出 40+,$ 468.00,$ 358.00,彩虹生活百貨,https://www.hktvmall.com/hktv/zh/exp/MMS_RP_H8347001_20230808_00001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/6069/3ba6/742f/uypFFTDXjD20230706143121_300.jpg,NA,NA
unicharm - [原箱4包] MOONY NATURAL有機棉 紙尿片 L 大碼38片 (9-14KG) X4包 (平行進口),已售出 40+,$ 600.00,$ 499.00,Wonder Babies,https://www.hktvmall.com/hktv/zh/exp/Redemption_H6961001_20226023,https://images.hktv-img.com/images/HKTV/22902/4903111242030_main_72134222_20210901130207_01_300.jpg,NA,(1)
Pampers  - 幫寶適Ichiban安睡褲 大碼(9-14kg) 34片 (4987176079381) 【平行進口】新舊版隨機發,已售出 40+,日本原裝，限時特價,$ 165.00,旬美百貨店,https://www.hktvmall.com/hktv/zh/exp/Redemption_B0202001_20220223,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/eb7b/9dca/4319/pqTyFYXBHY20221116215951_300.jpg,NA,NA
大王 - (原箱優惠) GOON 大王紙尿片 加大碼 XL 38片 x 4包 (平行進口),已售出 40+,"大減價, $105 包",$ 420.00,Express,https://www.hktvmall.com/hktv/zh/s/H6401001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/d6d9/463e/3fbb/bXrKNDnntG20230613171910_300.png,NA,NA
Merries - 學習褲XL碼 44片 X 2包 (原箱)【平行進口產品】,已售出 40+,$ 488.00,$ 192.00,Mami SOS,https://www.hktvmall.com/hktv/zh/s/H7777001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/1c06/249f/9475/poVHyuTHKt20230619112547_300.png,NA,NA
Moony - 【原箱】夜褲 尿褲 加加大碼 XXL 22片 x 3 男子 (平行進口) 新舊包裝隨機,已售出 40+,$ 503.00,$ 360.00,The One Baby,https://www.hktvmall.com/hktv/zh/exp/H5980001_Redemptionupon99255060v8,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/4a14/b6d8/1118/VTgqMvyXSa20230728124936_300.jpg,NA,NA
Dr. Pro - 包大人 - 親膚防漏成人紙尿片 - 日用型 (大碼) (平行進口)(包裝隨機),已售出 40+,HKTV-信譽優良店,$ 49.80,Milan Store,https://www.hktvmall.com/hktv/zh/s/H0257001,https://images.hktv-img.com/images/HKTV/12470/HH-OTH001-L_main_63251346_20210420173325_01_300.jpg,NA,(1)
Merries - [原箱-新包裝]紙尿片 中碼M 70片 x2包(平行進口),已售出 40+,$ 448.00,$ 220.00,BB20 特賣場,https://www.hktvmall.com/hktv/zh/s/S6113001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/d3d5/0b2f/7a63/gIBEUYOMbv20230708130507_300.jpg,NA,NA
Moony - (原箱優惠) MOONY 女仔L大學習褲 44片 x 4包【新舊包裝隨機發貨】 (平行進口),已售出 40+,平均 $110 包,$ 440.00,Express,https://www.hktvmall.com/hktv/zh/s/H6401001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/3e3f/2b6d/2b0f/lvdRjKSFlG20230703122744_300.png,NA,NA
菲比 - Fitti 菲比素肌之護嬰兒紙尿片 中碼 66片裝 x 2包,已售出 40+,清倉價,$ 231.00,積富創意,https://www.hktvmall.com/hktv/zh/s/H5707001,https://images.hktv-img.com/images/HKTV/9539/FB001_main_56702366_20201228135836_01_300.jpg,NA,(1)
Pampers  - (原箱優惠) 幫寶適ICHIBAN 【新版】特級棉柔 紙尿片 大碼 L Size 52片 X 3包(平行進口),已售出 40+,"最新版本, 平均$127.34包",$ 382.00,Express,https://www.hktvmall.com/hktv/zh/s/H6401001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/61e9/4856/8af7/QjJwKMkPVO20230531103111_300.png,NA,NA
Pigeon - 嬰兒無菌乳牙清潔濕巾 42包 木糖醇(獨立包裝) - 03824(平行進口),已售出 40+,$ 109.00,$ 55.00,Wishh Beauty!,https://www.hktvmall.com/hktv/zh/exp/MMS_RP_H0623009_20230725_00035,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/dc57/fa70/bbfa/kHIfxAOkFy20230317171328_300.jpg,NA,NA
大王 - 迪士尼 學習褲 拉拉褲 加加大碼(13-25kg) 34片不同版本隨機發貨(4902011842913) 平行進口,已售出 40+,$ 499.00,$ 115.00,MIKO MALL,https://www.hktvmall.com/hktv/zh/s/S2457001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/f65b/2188/3fa5/SLfjsjlTez20230117212048_300.png,NA,NA
皇冠 - 滋潤衛生濕紙巾-蘆薈&清新 36張 X 3包 [平行進口產品],已售出 40+,$ 150.00,$ 30.00,Ocean One,https://www.hktvmall.com/hktv/zh/s/H6242001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/6e60/25a1/d0e5/NdSmWZRxKF20221229144315_300.jpg,NA,(1)
